model,time_over_tau,sender,receiver,reference_C,model_C,signed_difference,absolute_difference,empirical_reference_envelope,control_numerical_allowance,conditional_total_error,passes_0_002_observed,passes_0_002_with_empirical_envelope
harmonic,0.0075,1,2,-0.003761869761439496,-0.012058103130911102,-0.008296233369471606,0.008296233369471606,6.7408901808353e-05,3.9968028886505635e-15,0.008363642271283956,False,False
harmonic,0.0075,2,0,-0.004727478544044372,-0.013599688028625767,-0.008872209484581395,0.008872209484581395,6.7408901808353e-05,3.9968028886505635e-15,0.008939618386393745,False,False
harmonic,0.0075,2,1,-0.003761869761439496,-0.012058103130911546,-0.00829623336947205,0.00829623336947205,6.7408901808353e-05,3.9968028886505635e-15,0.0083636422712844,False,False
harmonic,0.0075,2,2,-0.007784909684477592,-0.02253576989535766,-0.014750860210880068,0.014750860210880068,6.7408901808353e-05,3.9968028886505635e-15,0.014818269112692418,False,False
harmonic,0.025,0,0,-0.02527497523612371,-0.07025449719939658,-0.04497952196327287,0.04497952196327287,0.0002082016519861076,3.9968028886505635e-15,0.04518772361526298,False,False
harmonic,0.025,0,1,-0.011586721126133626,-0.041596668798666414,-0.03000994767253279,0.03000994767253279,0.0002082016519861076,3.9968028886505635e-15,0.030218149324522894,False,False
harmonic,0.025,0,2,-0.014873802552912402,-0.043972745583299,-0.029098943030386598,0.029098943030386598,0.0002082016519861076,3.9968028886505635e-15,0.029307144682376704,False,False
harmonic,0.025,1,0,-0.011586721126133487,-0.04159666879866597,-0.030009947672532483,0.030009947672532483,0.0002082016519861076,3.9968028886505635e-15,0.03021814932452259,False,False
harmonic,0.025,1,1,-0.024565136304858237,-0.07403593017260346,-0.04947079386774522,0.04947079386774522,0.0002082016519861076,3.9968028886505635e-15,0.04967899551973533,False,False
harmonic,0.025,1,2,-0.011887622499093864,-0.038929214173773485,-0.02704159167467962,0.02704159167467962,0.0002082016519861076,3.9968028886505635e-15,0.027249793326669727,False,False
harmonic,0.025,2,0,-0.014873802552912499,-0.043972745583299,-0.0290989430303865,0.0290989430303865,0.0002082016519861076,3.9968028886505635e-15,0.029307144682376607,False,False
harmonic,0.025,2,1,-0.011887622499094086,-0.03892921417377415,-0.027041591674680066,0.027041591674680066,0.0002082016519861076,3.9968028886505635e-15,0.02724979332667017,False,False
harmonic,0.025,2,2,-0.024697035709684123,-0.07287673693995023,-0.0481797012302661,0.0481797012302661,0.0002082016519861076,3.9968028886505635e-15,0.04838790288225621,False,False
harmonic,0.075,0,0,-0.06601986325706322,-0.19431069288498026,-0.12829082962791705,0.12829082962791705,0.0004966479607951172,3.9968028886505635e-15,0.12878747758871617,False,False
harmonic,0.075,0,1,-0.029694916573798344,-0.1145261047483293,-0.08483118817453096,0.08483118817453096,0.0004966479607951172,3.9968028886505635e-15,0.08532783613533007,False,False
harmonic,0.075,0,2,-0.03821305747291659,-0.12124557870812591,-0.08303252123520932,0.08303252123520932,0.0004966479607951172,3.9968028886505635e-15,0.08352916919600843,False,False
harmonic,0.075,1,0,-0.029694916573798386,-0.11452610474832908,-0.0848311881745307,0.0848311881745307,0.0004966479607951172,3.9968028886505635e-15,0.08532783613532981,False,False
harmonic,0.075,1,1,-0.06496035828056645,-0.2038370163941161,-0.13887665811354966,0.13887665811354966,0.0004966479607951172,3.9968028886505635e-15,0.13937330607434878,False,False
harmonic,0.075,1,2,-0.030941658423807944,-0.10690342681024662,-0.07596176838643867,0.07596176838643867,0.0004966479607951172,3.9968028886505635e-15,0.07645841634723778,False,False
harmonic,0.075,2,0,-0.038213057472916576,-0.12124557870812569,-0.08303252123520911,0.08303252123520911,0.0004966479607951172,3.9968028886505635e-15,0.08352916919600822,False,False
harmonic,0.075,2,1,-0.03094165842380786,-0.10690342681024695,-0.07596176838643909,0.07596176838643909,0.0004966479607951172,3.9968028886505635e-15,0.0764584163472382,False,False
harmonic,0.075,2,2,-0.06491371287452677,-0.20100538923788125,-0.13609167636335448,0.13609167636335448,0.0004966479607951172,3.9968028886505635e-15,0.1365883243241536,False,False
harmonic,0.1,0,0,-0.08251480486296009,-0.24907623293430892,-0.16656142807134883,0.16656142807134883,0.0005929189686863295,3.9968028886505635e-15,0.16715434704003915,False,False
harmonic,0.1,0,1,-0.036791860861380754,-0.14650142272233296,-0.10970956186095221,0.10970956186095221,0.0005929189686863295,3.9968028886505635e-15,0.11030248082964253,False,False
harmonic,0.1,0,2,-0.04739180248458663,-0.1552026625925853,-0.10781086010799867,0.10781086010799867,0.0005929189686863295,3.9968028886505635e-15,0.108403779076689,False,False
harmonic,0.1,1,0,-0.03679186086138096,-0.14650142272233274,-0.10970956186095178,0.10970956186095178,0.0005929189686863295,3.9968028886505635e-15,0.1103024808296421,False,False
harmonic,0.1,1,1,-0.08168569478900695,-0.26073866778611476,-0.17905297299710782,0.17905297299710782,0.0005929189686863295,3.9968028886505635e-15,0.17964589196579814,False,False
harmonic,0.1,1,2,-0.03863529401512261,-0.13658484767136597,-0.09794955365624336,0.09794955365624336,0.0005929189686863295,3.9968028886505635e-15,0.09854247262493368,False,False
harmonic,0.1,2,0,-0.047391802484586756,-0.15520266259258508,-0.10781086010799833,0.10781086010799833,0.0005929189686863295,3.9968028886505635e-15,0.10840377907668865,False,False
harmonic,0.1,2,1,-0.03863529401512267,-0.13658484767136625,-0.09794955365624358,0.09794955365624358,0.0005929189686863295,3.9968028886505635e-15,0.0985424726249339,False,False
harmonic,0.1,2,2,-0.08138931417387621,-0.2573292192975769,-0.1759399051237007,0.1759399051237007,0.0005929189686863295,3.9968028886505635e-15,0.17653282409239102,False,False
harmonic,0.25,0,0,-0.147467647322563,-0.4997320932835877,-0.3522644459610247,0.3522644459610247,0.0008380121205711653,3.9968028886505635e-15,0.35310245808159985,False,False
harmonic,0.25,0,1,-0.06305536980940482,-0.2910283367104089,-0.22797296690100408,0.22797296690100408,0.0008380121205711653,3.9968028886505635e-15,0.22881097902157924,False,False
harmonic,0.25,0,2,-0.08140724346285722,-0.30937863622381023,-0.22797139276095302,0.22797139276095302,0.0008380121205711653,3.9968028886505635e-15,0.22880940488152818,False,False
